Wavelength	OC32S		O13CS		OC33S		OC34S	
nm	cm2	1s	cm2	1s	cm2	1s	cm2	1s
257.58	4.23994E-21	2.84959E-22	4.20350E-21	6.84868E-22	4.14086E-21	2.95603E-22	4.38714E-21	2.59873E-22
257.56	4.24424E-21	6.15570E-22	4.09630E-21	6.35672E-22	4.21846E-21	3.35963E-22	4.36262E-21	3.85408E-22
257.54	4.34725E-21	7.40165E-22	4.18065E-21	6.32165E-22	4.32399E-21	3.30939E-22	4.21840E-21	5.20831E-22
257.52	4.35695E-21	5.74939E-22	4.28805E-21	6.59372E-22	4.20669E-21	3.60246E-22	4.33688E-21	2.93840E-22
257.5	4.22777E-21	4.31458E-22	4.25577E-21	5.83887E-22	4.26308E-21	3.88933E-22	4.24978E-21	2.97068E-22
257.48	4.20212E-21	3.04286E-22	4.17764E-21	5.36813E-22	4.24038E-21	2.99464E-22	4.38969E-21	5.48020E-22
257.46	4.16660E-21	5.08346E-22	4.11269E-21	6.19581E-22	4.20538E-21	2.74953E-22	4.28412E-21	3.26165E-22
257.44	4.23009E-21	4.51799E-22	4.24135E-21	5.97120E-22	4.24029E-21	3.57653E-22	4.17563E-21	4.10844E-22
257.42	4.41157E-21	4.47842E-22	4.32152E-21	4.99696E-22	4.19629E-21	4.14272E-22	4.23825E-21	4.51386E-22
257.4	4.29403E-21	5.42390E-22	4.29364E-21	6.32175E-22	4.22789E-21	3.74191E-22	4.19945E-21	3.85950E-22
257.38	4.33045E-21	3.14023E-22	4.33494E-21	8.09527E-22	4.28537E-21	3.46423E-22	4.32774E-21	1.61164E-22
257.36	4.40393E-21	3.52058E-22	4.36055E-21	7.74878E-22	4.34667E-21	3.86387E-22	4.43420E-21	1.97261E-22
257.34	4.37708E-21	6.56441E-22	4.40313E-21	7.59462E-22	4.39578E-21	4.23677E-22	4.20474E-21	4.08699E-22
257.32	4.50960E-21	5.21906E-22	4.27988E-21	8.52299E-22	4.39407E-21	3.02306E-22	4.15718E-21	3.56790E-22
257.3	4.56428E-21	1.80056E-22	4.34763E-21	8.23458E-22	4.52036E-21	3.04362E-22	4.34853E-21	4.21090E-22
257.28	4.57818E-21	3.72216E-22	4.31393E-21	7.49695E-22	4.55177E-21	3.98689E-22	4.32626E-21	4.40139E-22
257.26	4.35938E-21	4.78600E-22	4.50313E-21	5.43534E-22	4.35673E-21	3.99060E-22	4.27652E-21	3.34295E-22
257.24	4.31314E-21	4.90817E-22	4.48771E-21	6.63100E-22	4.45388E-21	4.26640E-22	4.40158E-21	3.43936E-22
257.22	4.60572E-21	2.17519E-22	4.30626E-21	5.37396E-22	4.44159E-21	3.80942E-22	4.50376E-21	1.45784E-22
257.2	4.48551E-21	3.94139E-22	4.36504E-21	4.31403E-22	4.45446E-21	2.87880E-22	4.61141E-21	2.32389E-22
